show_id;title;synopsis;release_year;date_added;duration;content_type_id_fk;rating_id_fk
70117289;She's Out of My League;When average-guy Kirk starts dating drop-dead-gorgeous Molly his friends don't see it lasting so Kirk does everything he can to avoid losing Molly.;2010;2019-11-20;105 min;2;6
28631236;Superstar;A socially awkward Catholic schoolgirl vows to win a dreamy classmate’s affections by taking first prize at an upcoming talent show.;1999;2019-11-20;82 min;2;10
70121502;The Adventures of Tintin;This 3-D motion capture adapts Georges Remi's classic comic strip about the adventures of fearless young journalist Tintin and his trusty dog Snowy.;2011;2019-11-20;107 min;2;8
70215455;The Devil Inside;At once spooky and grisly this thriller follows a woman's quest to find the truth behind claims her mother killed three people during an exorcism.;2012;2019-11-20;84 min;2;6
506464;The First Wives Club;Following a friend's suicide after her husband dumps her for a younger model three women plot payback against their two-timing exes.;1996;2019-11-20;103 min;2;8
60003508;The Gift;When the authorities find a drowned woman's body a small-town psychic starts having visions of who committed the murder.;2000;2019-11-20;112 min;2;6
70105132;The Goods: Live Hard Sell Hard;Hired to rescue a flagging car dealership during a major sale a fast-talking closer spends his days on the lot and his nights at local strip clubs.;2009;2019-11-20;89 min;2;6
60004083;The Longest Yard;Washed-up professional quarterback Paul Crewe is sent to jail and forced to put together an inmate gridiron team to take on a group of prison guards.;1974;2019-11-20;121 min;2;6
70087538;The Love Guru;Raised on an ashram in India a self-styled love guru returns to his native America to settle a romantic rivalry between two pro hockey players.;2008;2019-11-20;87 min;2;10
1181661;The Rainmaker;A young attorney and a scrappy paralegal work to help the parents of a terminally ill boy in their suit against an insurance company.;1997;2019-11-20;136 min;2;10
60011552;What's Eating Gilbert Grape;In a backwater Iowa town young Gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life.;1993;2019-11-20;118 min;2;10
80222157;Who Killed Little Gregory?;When their 4-year-old son is murdered a young couple fights a twisting and arduous battle trying to identify a frustratingly elusive killer.;2019;2019-11-20;1 Season;1;4
70044693;World Trade Center;Working under treacherous conditions an army of dedicated rescuers struggles to find anyone who survived the World Trade Center's tragic collapse.;2006;2019-11-20;129 min;2;10
70173046;Young Adult;When a divorced writer gets a letter from an old boyfriend announcing his wife's had a baby she returns to her hometown to reconnect with her ex.;2011;2019-11-20;94 min;2;6
70039187;Yours Mine and Ours;When a father of eight and a mother of 10 prepare to wed the couple's children attempt to sabotage the union in this remake of a 1968 comedy.;2005;2019-11-20;88 min;2;8
70044686;Zodiac;A political cartoonist a crime reporter and a pair of cops investigate San Francisco's infamous Zodiac Killer in this thriller based on a true story.;2007;2019-11-20;158 min;2;6
81073633;Iliza Shlesinger: Unveiled;Here comes the bride and she's got plenty to say. Newlywed Iliza Shlesinger dissects wedding traditions as she mines her nuptials for laughs.;2019;2019-11-19;78 min;2;4
81152642;Miss Culinary;After ditching her domestic life to become a chef a clueless maid crosses paths with two charming suitors who help her reach her dreams.;2019;2019-11-19;1 Season;1;1
81105522;No Time for Shame;Follow Santiago Artemis a Buenos Aires fashion dynamo as he makes his dreams come true while grappling with his love life therapist and clients.;2019;2019-11-19;1 Season;1;4
81191473;Candy Online;When a wardrobe malfunction goes viral a bubbly live streamer struggles to navigate her classmates' cruel judgment and the small town she lives in.;2019;2019-11-17;1 Season;1;4
80025678;The Crown;This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.;2019;1900-01-01;3 Seasons;1;4
70189289;Drive;A Hollywood stuntman and getaway driver is lured from his isolated life by a lovely neighbor – until her violent husband is released from prison.;2011;2019-11-16;100 min;2;6
81132624;Iron Sky: The Coming Race;Decades after a nuclear war survivors on the moon revisit Earth to locate a potential power source – and find shape-shifting reptiles instead.;2019;2019-11-16;93 min;2;4
80013267;Jeff Dunham: All Over the Map;America's most beloved ventriloquist hits the road bringing along all of his most popular pals including Achmed Peanut and Walter.;2014;2019-11-16;84 min;2;1
80046819;Suffragette;At the beginning of the 20th century circumstances drive a young idealistic suffragette to find radical approaches to fighting male oppression.;2015;2019-11-16;107 min;2;10
70293315;The Green Inferno;Determined to save an Amazon tribe being squeezed by logging a group of students finds nothing but trouble when their plane crashes in the jungle.;2013;2019-11-16;101 min;2;6
81179844;At the Dolphin Bay;Encountering each other after a long separation two childhood friends from orphanage must overcome great odds to fulfill an old promise and find love.;2003;2019-11-15;1 Season;1;1
80244457;Earthquake Bird;In 1980s Tokyo an enigmatic expat is suspected of killing her friend who's gone missing in the wake of their love triangle with a local photographer.;2019;2019-11-15;107 min;2;6
81196441;El sendero de la anaconda;In the most remote areas of the Amazon jungle a writer and his anthropologist friend meet communities who have resisted change for centuries.;2019;2019-11-15;74 min;2;5
81162089;GO! The Unforgettable Party;Mía's vacation with her dad is disrupted by the surprise arrival of Lupe Mercedes Juanma and Álvaro as their school drama moves lakeside.;2019;2019-11-15;60 min;2;5
81217737;Guna 369;A pampered but kind-hearted average joe ditches his romancing and peacekeeping ways when he’s framed for a murder he didn’t commit.;2019;2019-11-15;143 min;2;4
81076114;House Arrest;A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.;2019;2019-11-15;105 min;2;1
80217594;I'm with the Band: Nasty Cherry;In an unfiltered intimate docuseries pop star mentor Charli XCX finds out what it takes to build – and break – a real badass all-girl punk band.;2019;2019-11-15;1 Season;1;4
81033650;Inheritors;After a chance encounter in LA two teens from different social backgrounds reunite at an exclusive high school attended by Korea’s über rich.;2013;2019-11-15;1 Season;1;1
80003477;K-On!;When they're not gorging themselves on sugary snacks four aspiring high school musicians crank out catchy tunes as members of the Light Music Club.;2010;1900-01-01;2 Seasons;1;5
80093820;K-on! the movie;The seniors in Sakuragaoka High School's music club live out the graduation trip of their dreams when they celebrate by performing in London.;2011;2019-11-15;110 min;2;5
80183187;Klaus;A selfish postman and a reclusive toymaker form an unlikely friendship delivering joy to a cold dark town that desperately needs it.;2019;2019-11-15;98 min;2;8
81179882;La Robe De Mariee Des Cieux;After a chance encounter that ends on bad terms two clashing strangers soon cross paths again as their fates become inevitably intertwined.;2004;2019-11-15;1 Season;1;1
70124331;Leap Year;Anna chooses February 29 to propose marriage to her boyfriend but after meeting a charming innkeeper she must evaluate her original plans.;2010;2019-11-15;100 min;2;8
80115338;Llama Llama;Beloved children's book character Llama Llama springs to life in this heartwarming series about family friendship and learning new things.;2019;1900-01-01;2 Seasons;1;3
81179821;My MVP Valentine;An unfortunate accident alters the life of a high school basketball prodigy who abandons his beloved sport and becomes entangled in a love triangle.;2002;2019-11-15;1 Season;1;5
81033645;My Sassy Girl;A refined young Joseon scholar's life turns upside down after he rescues a drunk princess who later accuses him of taking something precious from her.;2017;2019-11-15;1 Season;1;1
81217749;SunGanges;A trio of filmmakers treks across India to explore the correlation between vanishing rivers massive energy projects and renewable energy sources.;2018;2019-11-15;74 min;2;5
80158800;The 24 Hour War;An intense rivalry between Henry Ford II of the Ford Motor Company and Enzo Ferrari results in the most epic showdown in racing history.;2016;2019-11-15;100 min;2;1
80238391;The Club;A band of misfit rich kids in Mexico strike out on their own selling MDMA and quickly run into trouble with other narcos the law and their families.;2019;2019-11-15;1 Season;1;4
70291121;The Garden of Words;When a lonely teenager skips his morning classes to sit in a lovely garden he meets a mysterious older woman who shares his feelings of alienation.;2013;2019-11-15;46 min;2;1
80242491;The Stranded;Trapped on an island destroyed by a tsunami the students of an elite school try to hold on to hope. But mysterious forces seem to work against them.;2019;2019-11-15;1 Season;1;4
80161497;The Toys That Made Us;The minds behind history's most iconic toy franchises discuss the rise – and sometimes fall – of their billion-dollar creations.;2019;1900-01-01;3 Seasons;1;1
81086462;The Yard;After a fateful domestic clash a devoted mother finds herself in prison and fighting to survive in hopes of reuniting with her daughter.;2019;1900-01-01;2 Seasons;1;4
81179864;Westside Story;Spirited high school misfits with hearts of gold begin their journeys into adulthood as they navigate school friendship romance and heartbreak.;2003;2019-11-15;1 Season;1;1
81156627;Clarence Clemons: Who Do I Think I Am?;This intimate documentary follows the life of legendary saxophonist Clarence Clemons and his spiritual awakening before his death in 2011.;2019;2019-11-14;88 min;2;4
81096745;Fadily Camara : La plus drôle de tes copines;Irrepressible French comedian Fadily Camara weaves jokes vivid characters and physical comedy into a lively stand-up show at La Cigale in Paris.;2019;2019-11-14;54 min;2;4
81163776;My Dear Warrior;Love leaps off the page when an astronomer magically meets her comic book hero in the flesh but learns that his fictional problems are very real.;2019;2019-11-14;1 Season;1;1
81034946;Maradona in Mexico;In this docuseries soccer great Diego Maradona comes to Culiacán the heart of the Sinaloa Cartel to save the local team the Dorados and maybe himself too.;2020;2019-11-13;1 Season;1;4
81070963;Chief of Staff;As a chief of staff in the National Assembly Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top.;2019;1900-01-01;2 Seasons;1;1
80178941;Harvey Street Kids;Kids rule in a place called Harvey Street where a trio of girls right wrongs ice cream is always an option and every day feels like Saturday.;2019;1900-01-01;3 Seasons;1;7
81078466;Jeff Garlin: Our Man In Chicago;Comedian Jeff Garlin (unintentionally) celebrates his 37th year of stand-up and shares his learnings on love loss success and food addiction.;2019;2019-11-12;59 min;2;4
70117297;A Single Man;This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.;2009;2019-11-11;100 min;2;6
81200229;Put Your Head on My Shoulder;On the cusp of graduation an accounting major searching for her career winds up living with a genius physics student who shakes up her daily routine.;2019;2019-11-11;1 Season;1;5
81152923;Submission;After a near-death trip home a Marine looking to help his comrade survive returns to the underground world of MMA where new battles await.;2019;2019-11-11;95 min;2;4
81171862;To Be of Service;Traumatized by combat newly returned war veterans find solace in service dogs that guide them back to a fulfilling civilian life.;2019;2019-11-11;88 min;2;4
80239931;Patriot Act with Hasan Minhaj;Every Sunday Hasan Minhaj brings an incisive and nuanced perspective to global news politics and culture in his unique comedy series.;2019;1900-01-01;5 Seasons;1;4
81011159;Little Things;A cohabiting couple in their 20s navigate the ups and downs of work modern-day relationships and finding themselves in contemporary Mumbai.;2019;1900-01-01;3 Seasons;1;4
80209553;Busted!;Tackling different mysteries in each episode of this game show seven sleuths get closer to solving the biggest one of all: What happened to Project D?;2019;1900-01-01;2 Seasons;1;1
80989924;Greatest Events of WWII in Colour;From the attack on Pearl Harbor to D-Day the most pivotal events of World War II come to life in this vivid docuseries featuring colorized footage.;2019;2019-11-08;1 Season;1;1
80057250;Green Eggs and Ham;On a road trip to save an endangered animal polar opposites Guy and Sam learn to try new things like friendship – and a certain delectable dish.;2019;2019-11-08;1 Season;1;7
