show_id,genre_id
81076251,3
81093925,3
80191049,2
80987209,1
70126573,8
80244996,9
80189829,1
70242568,3
81035869,3
81066244,17
80991404,10
81035873,3
81035862,3
81094665,4
81035878,3
80174683,29
70103759,3
81077451,4
81014345,4
80244228,1
80986854,12
80995078,10
81030755,2
81073387,4
80213712,2
80207606,4
81035861,8
81037733,4
81010166,2
80091341,20
80112518,4
81072829,1
80198950,1
81033430,4
81072807,1
80036747,5
80196883,11
81035851,4
80173174,1
80202920,3
81088285,2
81080942,4
81035844,3
81035842,3
81035860,3
81035850,3
81035846,8
81035854,17
80017099,4
81043542,17
81026329,3
81006826,13
81013626,2
70222859,3
70261674,3
70045274,10
81034599,4
70264078,5
80999069,10
81090128,2
81088700,3
70043149,22
81018181,2
70040077,4
60031998,3
60036103,3
81086641,4
70027133,4
81086640,8
81009808,3
81060043,8
81024557,17
81041391,4
80066227,28
81018120,4
80108518,4
80172002,3
81019144,8
81043540,17
81043541,17
81041272,13
80170483,17
80211621,12
80987458,12
81019888,3
80198988,23
70196145,28
81044884,1
81087095,3
81026007,13
80162994,5
81021447,17
80227574,5
80176842,1
70222860,3
81026677,17
81074135,4
81031306,8
81091424,8
80187052,9
80989339,15
70295170,4
80232502,8
81088786,4
80223989,25
70258489,20
80161628,6
81013015,16
81086435,17
80049832,9
81091423,8
81083880,2
80211703,6
81044607,5
80096545,9
80115432,5
80224218,2
80241474,6
81034317,3
81087764,6
70130142,8
80199128,12
81026008,13
81062674,17
81049578,1
80174097,3
81076749,3
81066961,4
80174687,13
81086434,17
81083791,4
81088282,2
70167072,3
70058016,4
70077557,8
80233085,10
80210602,2
81088283,2
81072430,5
81039073,5
80141156,22
81066709,1
70077546,4
81049612,1
70063591,10
81052280,4
80186475,11
80095866,20
70110558,8
60020916,10
60029178,10
70296735,1
80103336,17
81066723,1
80006149,11
80207445,3
80209751,3
80063773,15
81088284,2
80231373,11
70061480,8
70051671,3
80144408,5
81038545,17
81044496,4
80235932,12
80024057,6
81025019,20
80993794,1
81033429,3
80188579,4
80992232,6
80117809,28
80189898,1
80095815,12
80145533,4
80200571,4
80999977,2
81049739,1
80223793,20
70129463,3
80099753,1
80170767,4
80174280,1
81012998,16
81047902,17
81047897,4
80178687,23
81002880,13
81038046,8
81049479,6
80202809,8
70251816,6
70202151,3
80999996,8
80189632,5
80230265,6
81076756,6
80991158,4
80208298,1
80191046,2
80223108,7
81049348,1
80169469,3
80044950,16
80148239,2
81049949,2
70230412,5
80220655,1
81010863,8
80162503,8
80150350,3
80160692,4
70060865,17
80157890,22
80195967,8
81033107,2
81049315,1
81048554,4
81002451,1
81037077,13
81054383,2
81047798,4
81019338,3
80017171,3
81045888,1
70175439,4
80138030,5
81013990,3
80029103,9
80171678,8
81074015,3
81041273,13
70108985,10
81004374,4
80988860,1
70045356,13
70203594,13
70253171,13
70109657,13
70020728,8
80036140,6
81024308,2
80174608,23
81049381,1
81031178,8
80147920,20
80194956,6
70056425,4
81050198,15
80156538,20
80124723,20
81034771,17
81060041,4
70090072,4
80145621,4
80100268,3
80206696,22
81010870,3
81049544,1
81049511,1
80192187,8
80094387,6
80094386,1
80214087,13
80212301,1
81049674,1
81049707,1
80067617,23
70176655,17
80239796,1
80998491,20
80242036,1
70270362,3
80192577,12
81049445,1
80204890,9
81074140,8
70300472,11
81026095,1
80179831,11
80184676,4
81024044,4
81033727,6
60023618,10
81049413,1
70113532,8
70074299,3
80995799,10
70100377,4
80189630,3
81010867,3
81010865,4
81010874,22
80075018,4
80238357,16
80083977,6
80032178,6
80211136,1
81091015,6
80214405,1
70100381,10
70110919,4
80221560,10
80200961,8
80085013,22
81077597,4
80049193,4
70039783,3
81010871,4
81004270,2
70230147,3
80105067,10
70105459,8
80207444,3
81033516,4
81075235,8
81072516,8
70283202,3
70140447,12
80156212,4
70296742,3
81059944,2
80095531,4
81059183,2
81024332,4
81059444,2
80987464,3
80156925,10
80222770,9
60002907,8
80207473,3
80001101,7
80208052,5
80990534,17
70111265,8
70024098,3
80071907,4
80991329,5
70020730,31
